Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",5,4.01,Vintage Books,Paperback,296,2000,1987,2020/08/31,2020/06/18,,,read,"Watanabe really acts like is life is lame, but then he recalls his life and it's really wild. And then you read the book and you're like not a lot happens in this book but then you finish it and look back and realise a lot happened. It's crazy. This book is crazy, like it really made an impression on me and I don't even know why.<br/>It's just a book about sex and suicide, and japanese teens like it for some reason.<br/><br/>Also wow I wish I was a lame nerdy sex god with tons of manic pixie dream girls swooning over me.",true,,1,0
108218,Men Without Women,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",5,3.61,Scribner,Paperback,153,2004,1927,2020/07/26,2019/08/22,,,read,i like short stories :D,,,1,0
36372603,"Byens Spor: Ewald og Maj (Byens Spor, #1)",Lars Saabye Christensen,"Christensen, Lars Saabye",,"=""8202571987""","=""9788202571986""",5,4.10,Cappelen Damm,ebook (EPUB),441,2017,2017,2020/07/07,2020/06/18,,,read,"oslo, byen min liksom",true,,1,0
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",4,4.15,Knopf,Paperback,607,1997,1994,2020/06/18,2020/03/02,,,read,"this is a book about a dumb stupid man with no personality, who keeps taking L's. but he doesn't care about all the L's he takes because his only personality trait is apathy.<br/>luckily Murakami saves this character by placing him in a surreal, philosophical plotline. it's a bit too weird sometimes, like it's just weird for the sake of being weird. i enjoyed it tho.",,,1,0
30684824,Du er så lys,Tore Renberg,"Renberg, Tore",,"=""""","=""9788249516957""",3,4.09,Forlaget Oktober,Hardcover,266,2016,2016,,2020/05/19,,,read,"wow hvem skulle trodd, han var ikke så lys likevel",,,1,0
374233,If on a Winter's Night a Traveler,Italo Calvino,"Calvino, Italo",William Weaver,"=""""","=""9780088619451""",4,4.04,L&OD Key Porter,Paperback,260,1982,1979,2020/04/13,2020/03/08,,,read,"You're sitting in your house, bored during quarantine. You desperately wish you had something to read. So you walk up to your bookshelf, examining the spine of each book. One book in particular catches your eyes, ""If on a winter's night a traveller"". You open the book and begin to read...<br/><br/>yada, yada, that's basically the whole gimmick. It's wonderfully executed tho, and the book is a joy to read even if you know about the gimmick, and even if you know the wacky plot beforehand.<br/><br/>also sidenote, the reader be like:<br/>""a girl.... AND a reader? Whoa mama! *eyes pop out of sockets* AWOOGA! *jaw drops to the floor* ahem, please let me discuss books with you""",,,1,0
9557,Sputnik Sweetheart,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0099448475""","=""9780099448471""",5,3.83,Vintage,Paperback,229,2002,1999,2020/03/08,2020/02/22,,,read,"What's up with Murakami and writing surreal books about love, sex, and human relations generally. Thought about switching it up maybe? No wait actually don't, this book is amazing.",,,1,0
17803,After Dark,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0307265838""","=""9780307265838""",4,3.74,Knopf,Hardcover,191,2007,2004,2020/02/21,2020/02/18,,,read,"this weird surreal book feels like it gets cut short by the morning, but i'll forgive it because that's probably a metaphor",,,1,0
785454,Train to Pakistan,Khushwant Singh,"Singh, Khushwant",Arthur Lall,"=""0802132219""","=""9780802132215""",4,3.93,Grove Press,Paperback,181,1994,1956,2020/02/18,2020/01/28,,,read,"Intense, chilling, and a testament to how much the british ruined the world",,,1,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",5,4.13,Vintage International,Paperback,467,2006,2002,2020/02/08,2019/08/22,,,read,this plot reads like it has been written by a crazy person. but thats probably why it's so good,,,1,0
